,Hour,Trips,PDir,NDir,Weekday,Bridge,Year
0,0,1198,457,741,SUN,Lion's Gate,2017
1,1,790,317,472,SUN,Lion's Gate,2017
2,2,543,230,314,SUN,Lion's Gate,2017
3,3,397,178,219,SUN,Lion's Gate,2017
4,4,277,138,139,SUN,Lion's Gate,2017
5,5,332,164,168,SUN,Lion's Gate,2017
6,6,700,327,373,SUN,Lion's Gate,2017
7,7,1169,487,681,SUN,Lion's Gate,2017
8,8,1721,762,959,SUN,Lion's Gate,2017
9,9,2484,1222,1262,SUN,Lion's Gate,2017
10,10,3085,1546,1539,SUN,Lion's Gate,2017
11,11,3503,1747,1756,SUN,Lion's Gate,2017
12,12,3625,1812,1814,SUN,Lion's Gate,2017
13,13,3748,1863,1885,SUN,Lion's Gate,2017
14,14,3740,1835,1905,SUN,Lion's Gate,2017
15,15,3722,1843,1879,SUN,Lion's Gate,2017
16,16,3613,1784,1828,SUN,Lion's Gate,2017
17,17,3484,1756,1728,SUN,Lion's Gate,2017
18,18,3202,1725,1477,SUN,Lion's Gate,2017
19,19,2784,1597,1187,SUN,Lion's Gate,2017
20,20,2502,1379,1122,SUN,Lion's Gate,2017
21,21,2277,1226,1051,SUN,Lion's Gate,2017
22,22,1674,817,857,SUN,Lion's Gate,2017
0,0,612,249,363,MON,Lion's Gate,2017
1,1,307,121,186,MON,Lion's Gate,2017
2,2,184,76,108,MON,Lion's Gate,2017
3,3,147,71,76,MON,Lion's Gate,2017
4,4,208,124,84,MON,Lion's Gate,2017
5,5,590,333,257,MON,Lion's Gate,2017
6,6,1746,1073,673,MON,Lion's Gate,2017
7,7,3758,2489,1269,MON,Lion's Gate,2017
8,8,4371,2965,1406,MON,Lion's Gate,2017
9,9,3796,2361,1435,MON,Lion's Gate,2017
10,10,3380,1844,1536,MON,Lion's Gate,2017
11,11,3463,1800,1663,MON,Lion's Gate,2017
12,12,3483,1771,1712,MON,Lion's Gate,2017
13,13,3500,1699,1802,MON,Lion's Gate,2017
14,14,3676,1693,1983,MON,Lion's Gate,2017
15,15,3936,1835,2101,MON,Lion's Gate,2017
16,16,4154,1673,2481,MON,Lion's Gate,2017
17,17,4291,1578,2713,MON,Lion's Gate,2017
18,18,3740,1560,2180,MON,Lion's Gate,2017
19,19,2853,1380,1473,MON,Lion's Gate,2017
20,20,2258,1083,1175,MON,Lion's Gate,2017
21,21,2073,983,1090,MON,Lion's Gate,2017
22,22,1532,664,869,MON,Lion's Gate,2017
0,0,474,184,290,TUE,Lion's Gate,2017
1,1,238,91,147,TUE,Lion's Gate,2017
2,2,142,59,84,TUE,Lion's Gate,2017
3,3,117,58,60,TUE,Lion's Gate,2017
4,4,195,119,76,TUE,Lion's Gate,2017
5,5,633,364,269,TUE,Lion's Gate,2017
6,6,1976,1253,723,TUE,Lion's Gate,2017
7,7,4389,2975,1414,TUE,Lion's Gate,2017
8,8,4981,3469,1512,TUE,Lion's Gate,2017
9,9,4205,2706,1499,TUE,Lion's Gate,2017
10,10,3507,1940,1568,TUE,Lion's Gate,2017
11,11,3519,1848,1670,TUE,Lion's Gate,2017
12,12,3491,1779,1712,TUE,Lion's Gate,2017
13,13,3465,1630,1835,TUE,Lion's Gate,2017
14,14,3685,1674,2010,TUE,Lion's Gate,2017
15,15,4006,1809,2197,TUE,Lion's Gate,2017
16,16,4300,1676,2624,TUE,Lion's Gate,2017
17,17,4429,1560,2869,TUE,Lion's Gate,2017
18,18,3993,1565,2427,TUE,Lion's Gate,2017
19,19,3082,1355,1727,TUE,Lion's Gate,2017
20,20,2351,1041,1310,TUE,Lion's Gate,2017
21,21,2208,947,1261,TUE,Lion's Gate,2017
22,22,1704,657,1046,TUE,Lion's Gate,2017
0,0,522,184,338,WED,Lion's Gate,2017
1,1,271,98,173,WED,Lion's Gate,2017
2,2,160,66,94,WED,Lion's Gate,2017
3,3,130,62,67,WED,Lion's Gate,2017
4,4,198,122,76,WED,Lion's Gate,2017
5,5,650,372,277,WED,Lion's Gate,2017
6,6,1997,1259,739,WED,Lion's Gate,2017
7,7,4367,2940,1427,WED,Lion's Gate,2017
8,8,4863,3364,1499,WED,Lion's Gate,2017
9,9,4203,2683,1520,WED,Lion's Gate,2017
10,10,3667,2051,1616,WED,Lion's Gate,2017
11,11,3580,1872,1707,WED,Lion's Gate,2017
12,12,3631,1858,1773,WED,Lion's Gate,2017
13,13,3607,1722,1885,WED,Lion's Gate,2017
14,14,3841,1729,2112,WED,Lion's Gate,2017
15,15,4088,1788,2300,WED,Lion's Gate,2017
16,16,4335,1634,2701,WED,Lion's Gate,2017
17,17,4517,1563,2953,WED,Lion's Gate,2017
18,18,4082,1652,2430,WED,Lion's Gate,2017
19,19,3112,1398,1714,WED,Lion's Gate,2017
20,20,2480,1098,1382,WED,Lion's Gate,2017
21,21,2386,1034,1352,WED,Lion's Gate,2017
22,22,1815,713,1103,WED,Lion's Gate,2017
0,0,542,199,343,THU,Lion's Gate,2017
1,1,282,107,175,THU,Lion's Gate,2017
2,2,166,69,97,THU,Lion's Gate,2017
3,3,133,64,69,THU,Lion's Gate,2017
4,4,198,118,81,THU,Lion's Gate,2017
5,5,621,356,265,THU,Lion's Gate,2017
6,6,1966,1220,746,THU,Lion's Gate,2017
7,7,4355,2926,1429,THU,Lion's Gate,2017
8,8,4990,3457,1533,THU,Lion's Gate,2017
9,9,4138,2627,1511,THU,Lion's Gate,2017
10,10,3645,2047,1598,THU,Lion's Gate,2017
11,11,3624,1896,1728,THU,Lion's Gate,2017
12,12,3606,1825,1780,THU,Lion's Gate,2017
13,13,3634,1722,1912,THU,Lion's Gate,2017
14,14,3850,1709,2141,THU,Lion's Gate,2017
15,15,4125,1772,2353,THU,Lion's Gate,2017
16,16,4341,1638,2702,THU,Lion's Gate,2017
17,17,4485,1585,2901,THU,Lion's Gate,2017
18,18,4103,1687,2416,THU,Lion's Gate,2017
19,19,3338,1514,1823,THU,Lion's Gate,2017
20,20,2608,1141,1467,THU,Lion's Gate,2017
21,21,2518,1087,1431,THU,Lion's Gate,2017
22,22,2006,768,1238,THU,Lion's Gate,2017
0,0,649,243,406,FRI,Lion's Gate,2017
1,1,353,134,219,FRI,Lion's Gate,2017
2,2,216,91,125,FRI,Lion's Gate,2017
3,3,163,77,86,FRI,Lion's Gate,2017
4,4,206,118,87,FRI,Lion's Gate,2017
5,5,622,336,286,FRI,Lion's Gate,2017
6,6,1839,1099,740,FRI,Lion's Gate,2017
7,7,4000,2606,1394,FRI,Lion's Gate,2017
8,8,4679,3187,1492,FRI,Lion's Gate,2017
9,9,3975,2393,1583,FRI,Lion's Gate,2017
10,10,3731,2024,1707,FRI,Lion's Gate,2017
11,11,3783,1939,1844,FRI,Lion's Gate,2017
12,12,3829,1861,1968,FRI,Lion's Gate,2017
13,13,3917,1788,2128,FRI,Lion's Gate,2017
14,14,4064,1825,2239,FRI,Lion's Gate,2017
15,15,4249,1732,2517,FRI,Lion's Gate,2017
16,16,4339,1651,2689,FRI,Lion's Gate,2017
17,17,4334,1623,2710,FRI,Lion's Gate,2017
18,18,4026,1708,2317,FRI,Lion's Gate,2017
19,19,3294,1539,1756,FRI,Lion's Gate,2017
20,20,2558,1187,1372,FRI,Lion's Gate,2017
21,21,2411,1143,1268,FRI,Lion's Gate,2017
22,22,2133,901,1231,FRI,Lion's Gate,2017
0,0,1085,403,682,SAT,Lion's Gate,2017
1,1,736,290,446,SAT,Lion's Gate,2017
2,2,519,221,298,SAT,Lion's Gate,2017
3,3,370,166,204,SAT,Lion's Gate,2017
4,4,267,134,133,SAT,Lion's Gate,2017
5,5,391,177,213,SAT,Lion's Gate,2017
6,6,854,378,476,SAT,Lion's Gate,2017
7,7,1555,684,871,SAT,Lion's Gate,2017
8,8,2441,1123,1318,SAT,Lion's Gate,2017
9,9,3093,1534,1559,SAT,Lion's Gate,2017
10,10,3511,1709,1802,SAT,Lion's Gate,2017
11,11,3740,1824,1915,SAT,Lion's Gate,2017
12,12,3802,1830,1972,SAT,Lion's Gate,2017
13,13,3896,1886,2010,SAT,Lion's Gate,2017
14,14,3814,1784,2030,SAT,Lion's Gate,2017
15,15,3756,1805,1951,SAT,Lion's Gate,2017
16,16,3746,1805,1941,SAT,Lion's Gate,2017
17,17,3648,1809,1839,SAT,Lion's Gate,2017
