,Time,Road,PDir,NDir,Weekday,Bridge,Year
0,00:00:00,1139,679,459,SUN,Lion's Gate,2019
1,01:00:00,755,441,314,SUN,Lion's Gate,2019
2,02:00:00,505,284,220,SUN,Lion's Gate,2019
3,03:00:00,376,208,167,SUN,Lion's Gate,2019
4,04:00:00,267,128,138,SUN,Lion's Gate,2019
5,05:00:00,342,168,173,SUN,Lion's Gate,2019
6,06:00:00,723,384,339,SUN,Lion's Gate,2019
7,07:00:00,1202,693,509,SUN,Lion's Gate,2019
8,08:00:00,1759,980,779,SUN,Lion's Gate,2019
9,09:00:00,2542,1294,1248,SUN,Lion's Gate,2019
10,10:00:00,3132,1548,1584,SUN,Lion's Gate,2019
11,11:00:00,3531,1776,1754,SUN,Lion's Gate,2019
12,12:00:00,3745,1867,1878,SUN,Lion's Gate,2019
13,13:00:00,3814,1960,1853,SUN,Lion's Gate,2019
14,14:00:00,3809,1956,1852,SUN,Lion's Gate,2019
15,15:00:00,3716,1923,1793,SUN,Lion's Gate,2019
16,16:00:00,3613,1847,1765,SUN,Lion's Gate,2019
17,17:00:00,3532,1782,1750,SUN,Lion's Gate,2019
18,18:00:00,3219,1404,1814,SUN,Lion's Gate,2019
19,19:00:00,2798,1212,1586,SUN,Lion's Gate,2019
20,20:00:00,2475,1082,1392,SUN,Lion's Gate,2019
21,21:00:00,2161,1050,1111,SUN,Lion's Gate,2019
22,22:00:00,1648,862,785,SUN,Lion's Gate,2019
23,23:00:00,1036,570,465,SUN,Lion's Gate,2019
0,00:00:00,575,329,245,MON,Lion's Gate,2019
1,01:00:00,298,173,125,MON,Lion's Gate,2019
2,02:00:00,168,98,70,MON,Lion's Gate,2019
3,03:00:00,145,73,72,MON,Lion's Gate,2019
4,04:00:00,218,94,123,MON,Lion's Gate,2019
5,05:00:00,674,299,375,MON,Lion's Gate,2019
6,06:00:00,1824,715,1108,MON,Lion's Gate,2019
7,07:00:00,3817,1268,2548,MON,Lion's Gate,2019
8,08:00:00,4403,1408,2994,MON,Lion's Gate,2019
9,09:00:00,3829,1460,2368,MON,Lion's Gate,2019
10,10:00:00,3422,1546,1875,MON,Lion's Gate,2019
11,11:00:00,3410,1651,1758,MON,Lion's Gate,2019
12,12:00:00,3523,1764,1759,MON,Lion's Gate,2019
13,13:00:00,3450,1784,1665,MON,Lion's Gate,2019
14,14:00:00,3686,1981,1705,MON,Lion's Gate,2019
15,15:00:00,3854,2181,1672,MON,Lion's Gate,2019
16,16:00:00,4135,2480,1655,MON,Lion's Gate,2019
17,17:00:00,4268,2682,1586,MON,Lion's Gate,2019
18,18:00:00,3734,2216,1517,MON,Lion's Gate,2019
19,19:00:00,2718,1419,1299,MON,Lion's Gate,2019
20,20:00:00,2226,1141,1085,MON,Lion's Gate,2019
21,21:00:00,1996,1083,913,MON,Lion's Gate,2019
22,22:00:00,1461,821,640,MON,Lion's Gate,2019
23,23:00:00,869,488,380,MON,Lion's Gate,2019
0,00:00:00,457,273,184,TUE,Lion's Gate,2019
1,01:00:00,246,153,93,TUE,Lion's Gate,2019
2,02:00:00,147,87,60,TUE,Lion's Gate,2019
3,03:00:00,124,62,61,TUE,Lion's Gate,2019
4,04:00:00,207,88,118,TUE,Lion's Gate,2019
5,05:00:00,720,314,406,TUE,Lion's Gate,2019
6,06:00:00,2048,783,1265,TUE,Lion's Gate,2019
7,07:00:00,4272,1366,2906,TUE,Lion's Gate,2019
8,08:00:00,4786,1486,3299,TUE,Lion's Gate,2019
9,09:00:00,4217,1506,2710,TUE,Lion's Gate,2019
10,10:00:00,3557,1580,1976,TUE,Lion's Gate,2019
11,11:00:00,3488,1659,1828,TUE,Lion's Gate,2019
12,12:00:00,3526,1772,1753,TUE,Lion's Gate,2019
13,13:00:00,3541,1891,1649,TUE,Lion's Gate,2019
14,14:00:00,3773,2054,1718,TUE,Lion's Gate,2019
15,15:00:00,3966,2276,1689,TUE,Lion's Gate,2019
16,16:00:00,4257,2687,1570,TUE,Lion's Gate,2019
17,17:00:00,4430,2884,1545,TUE,Lion's Gate,2019
18,18:00:00,3945,2378,1566,TUE,Lion's Gate,2019
19,19:00:00,2963,1627,1335,TUE,Lion's Gate,2019
20,20:00:00,2379,1293,1086,TUE,Lion's Gate,2019
21,21:00:00,2200,1255,944,TUE,Lion's Gate,2019
22,22:00:00,1669,1001,668,TUE,Lion's Gate,2019
23,23:00:00,951,553,397,TUE,Lion's Gate,2019
0,00:00:00,474,284,189,WED,Lion's Gate,2019
1,01:00:00,248,151,97,WED,Lion's Gate,2019
2,02:00:00,142,84,57,WED,Lion's Gate,2019
3,03:00:00,126,61,65,WED,Lion's Gate,2019
4,04:00:00,204,87,116,WED,Lion's Gate,2019
5,05:00:00,731,327,404,WED,Lion's Gate,2019
