,Time,Road,PDir,NDir,Weekday,Bridge,Year
6,06:00:00,2052,793,1259,WED,Lion's Gate,2019
7,07:00:00,4361,1401,2960,WED,Lion's Gate,2019
8,08:00:00,4895,1519,3376,WED,Lion's Gate,2019
9,09:00:00,4245,1529,2716,WED,Lion's Gate,2019
10,10:00:00,3613,1601,2012,WED,Lion's Gate,2019
11,11:00:00,3551,1693,1858,WED,Lion's Gate,2019
12,12:00:00,3538,1776,1761,WED,Lion's Gate,2019
13,13:00:00,3611,1912,1699,WED,Lion's Gate,2019
14,14:00:00,3820,2061,1758,WED,Lion's Gate,2019
15,15:00:00,4019,2337,1681,WED,Lion's Gate,2019
16,16:00:00,4313,2675,1638,WED,Lion's Gate,2019
17,17:00:00,4554,2994,1560,WED,Lion's Gate,2019
18,18:00:00,3987,2410,1577,WED,Lion's Gate,2019
19,19:00:00,2937,1644,1293,WED,Lion's Gate,2019
20,20:00:00,2451,1333,1118,WED,Lion's Gate,2019
21,21:00:00,2291,1316,975,WED,Lion's Gate,2019
22,22:00:00,1734,1042,692,WED,Lion's Gate,2019
23,23:00:00,1008,604,403,WED,Lion's Gate,2019
0,00:00:00,502,307,195,THU,Lion's Gate,2019
1,01:00:00,254,157,97,THU,Lion's Gate,2019
2,02:00:00,146,85,60,THU,Lion's Gate,2019
3,03:00:00,126,63,62,THU,Lion's Gate,2019
4,04:00:00,202,87,114,THU,Lion's Gate,2019
5,05:00:00,707,316,390,THU,Lion's Gate,2019
6,06:00:00,2039,801,1237,THU,Lion's Gate,2019
7,07:00:00,4343,1395,2948,THU,Lion's Gate,2019
8,08:00:00,4914,1526,3387,THU,Lion's Gate,2019
9,09:00:00,4280,1536,2744,THU,Lion's Gate,2019
10,10:00:00,3638,1606,2032,THU,Lion's Gate,2019
11,11:00:00,3609,1720,1888,THU,Lion's Gate,2019
12,12:00:00,3633,1842,1791,THU,Lion's Gate,2019
13,13:00:00,3664,1939,1725,THU,Lion's Gate,2019
14,14:00:00,3905,2153,1751,THU,Lion's Gate,2019
15,15:00:00,4095,2433,1662,THU,Lion's Gate,2019
16,16:00:00,4300,2657,1643,THU,Lion's Gate,2019
17,17:00:00,4500,2950,1550,THU,Lion's Gate,2019
18,18:00:00,4092,2441,1651,THU,Lion's Gate,2019
19,19:00:00,3206,1778,1427,THU,Lion's Gate,2019
20,20:00:00,2607,1420,1186,THU,Lion's Gate,2019
21,21:00:00,2478,1394,1083,THU,Lion's Gate,2019
22,22:00:00,1958,1204,754,THU,Lion's Gate,2019
23,23:00:00,1165,707,458,THU,Lion's Gate,2019
0,00:00:00,607,372,235,FRI,Lion's Gate,2019
1,01:00:00,323,196,127,FRI,Lion's Gate,2019
2,02:00:00,191,114,77,FRI,Lion's Gate,2019
3,03:00:00,152,78,74,FRI,Lion's Gate,2019
4,04:00:00,212,95,116,FRI,Lion's Gate,2019
5,05:00:00,700,328,371,FRI,Lion's Gate,2019
6,06:00:00,1891,784,1106,FRI,Lion's Gate,2019
7,07:00:00,3987,1356,2630,FRI,Lion's Gate,2019
8,08:00:00,4675,1488,3186,FRI,Lion's Gate,2019
9,09:00:00,4009,1571,2437,FRI,Lion's Gate,2019
10,10:00:00,3708,1684,2023,FRI,Lion's Gate,2019
11,11:00:00,3723,1829,1894,FRI,Lion's Gate,2019
12,12:00:00,3821,1997,1823,FRI,Lion's Gate,2019
13,13:00:00,3885,2135,1749,FRI,Lion's Gate,2019
14,14:00:00,4040,2246,1793,FRI,Lion's Gate,2019
15,15:00:00,4190,2531,1658,FRI,Lion's Gate,2019
16,16:00:00,4340,2734,1605,FRI,Lion's Gate,2019
17,17:00:00,4426,2871,1555,FRI,Lion's Gate,2019
18,18:00:00,4038,2373,1665,FRI,Lion's Gate,2019
19,19:00:00,3251,1745,1505,FRI,Lion's Gate,2019
20,20:00:00,2563,1334,1229,FRI,Lion's Gate,2019
21,21:00:00,2393,1291,1101,FRI,Lion's Gate,2019
22,22:00:00,2148,1239,909,FRI,Lion's Gate,2019
23,23:00:00,1562,930,632,FRI,Lion's Gate,2019
0,00:00:00,1018,618,400,SAT,Lion's Gate,2019
1,01:00:00,679,401,278,SAT,Lion's Gate,2019
2,02:00:00,464,263,201,SAT,Lion's Gate,2019
3,03:00:00,334,184,150,SAT,Lion's Gate,2019
4,04:00:00,253,125,127,SAT,Lion's Gate,2019
5,05:00:00,404,219,184,SAT,Lion's Gate,2019
6,06:00:00,879,494,384,SAT,Lion's Gate,2019
7,07:00:00,1564,878,686,SAT,Lion's Gate,2019
8,08:00:00,2428,1294,1133,SAT,Lion's Gate,2019
9,09:00:00,3140,1562,1577,SAT,Lion's Gate,2019
10,10:00:00,3537,1819,1718,SAT,Lion's Gate,2019
11,11:00:00,3780,1937,1843,SAT,Lion's Gate,2019
12,12:00:00,3948,2064,1883,SAT,Lion's Gate,2019
13,13:00:00,3920,2084,1836,SAT,Lion's Gate,2019
14,14:00:00,3872,2053,1818,SAT,Lion's Gate,2019
15,15:00:00,3935,2100,1834,SAT,Lion's Gate,2019
16,16:00:00,3838,1998,1840,SAT,Lion's Gate,2019
17,17:00:00,3747,1901,1846,SAT,Lion's Gate,2019
18,18:00:00,3466,1605,1860,SAT,Lion's Gate,2019
19,19:00:00,3009,1339,1669,SAT,Lion's Gate,2019
20,20:00:00,2391,1135,1255,SAT,Lion's Gate,2019
21,21:00:00,2286,1193,1092,SAT,Lion's Gate,2019
22,22:00:00,2180,1247,932,SAT,Lion's Gate,2019
23,23:00:00,1680,1014,665,SAT,Lion's Gate,2019
