,Time,Road,PDir,NDir,Weekday,Bridge,Year
0,0,652,355,296,SUN,Lion's Gate,2020
1,1,408,218,190,SUN,Lion's Gate,2020
2,2,251,134,117,SUN,Lion's Gate,2020
3,3,180,96,83,SUN,Lion's Gate,2020
4,4,131,65,65,SUN,Lion's Gate,2020
5,5,202,110,91,SUN,Lion's Gate,2020
6,6,518,300,218,SUN,Lion's Gate,2020
7,7,854,528,326,SUN,Lion's Gate,2020
8,8,1246,763,482,SUN,Lion's Gate,2020
9,9,1797,994,802,SUN,Lion's Gate,2020
10,10,2381,1295,1085,SUN,Lion's Gate,2020
11,11,2878,1517,1361,SUN,Lion's Gate,2020
12,12,3206,1640,1566,SUN,Lion's Gate,2020
13,13,3352,1714,1637,SUN,Lion's Gate,2020
14,14,3365,1720,1644,SUN,Lion's Gate,2020
15,15,3299,1634,1664,SUN,Lion's Gate,2020
16,16,3187,1543,1644,SUN,Lion's Gate,2020
17,17,3009,1399,1609,SUN,Lion's Gate,2020
18,18,2601,1118,1483,SUN,Lion's Gate,2020
19,19,2185,912,1272,SUN,Lion's Gate,2020
20,20,1895,775,1119,SUN,Lion's Gate,2020
21,21,1551,672,879,SUN,Lion's Gate,2020
22,22,1121,505,616,SUN,Lion's Gate,2020
23,23,686,335,351,SUN,Lion's Gate,2020
0,0,368,193,174,MON,Lion's Gate,2020
1,1,198,102,95,MON,Lion's Gate,2020
2,2,106,58,48,MON,Lion's Gate,2020
3,3,83,42,40,MON,Lion's Gate,2020
4,4,123,59,63,MON,Lion's Gate,2020
5,5,435,211,223,MON,Lion's Gate,2020
6,6,1305,575,729,MON,Lion's Gate,2020
7,7,2668,1052,1615,MON,Lion's Gate,2020
8,8,3136,1188,1947,MON,Lion's Gate,2020
9,9,2901,1221,1680,MON,Lion's Gate,2020
10,10,2686,1286,1400,MON,Lion's Gate,2020
11,11,2779,1395,1384,MON,Lion's Gate,2020
12,12,2945,1474,1471,MON,Lion's Gate,2020
13,13,2999,1553,1445,MON,Lion's Gate,2020
14,14,3156,1674,1482,MON,Lion's Gate,2020
15,15,3349,1782,1566,MON,Lion's Gate,2020
16,16,3547,1978,1568,MON,Lion's Gate,2020
17,17,3543,2067,1475,MON,Lion's Gate,2020
18,18,2962,1633,1329,MON,Lion's Gate,2020
19,19,2163,1074,1088,MON,Lion's Gate,2020
20,20,1740,827,913,MON,Lion's Gate,2020
21,21,1399,682,716,MON,Lion's Gate,2020
22,22,1005,498,506,MON,Lion's Gate,2020
23,23,600,300,300,MON,Lion's Gate,2020
0,0,302,171,130,TUE,Lion's Gate,2020
1,1,170,91,78,TUE,Lion's Gate,2020
2,2,95,53,42,TUE,Lion's Gate,2020
3,3,76,40,36,TUE,Lion's Gate,2020
4,4,116,54,61,TUE,Lion's Gate,2020
5,5,451,218,232,TUE,Lion's Gate,2020
6,6,1427,622,805,TUE,Lion's Gate,2020
7,7,2952,1118,1834,TUE,Lion's Gate,2020
8,8,3434,1251,2183,TUE,Lion's Gate,2020
9,9,3158,1258,1900,TUE,Lion's Gate,2020
10,10,2814,1291,1522,TUE,Lion's Gate,2020
11,11,2847,1396,1451,TUE,Lion's Gate,2020
12,12,2964,1485,1479,TUE,Lion's Gate,2020
13,13,3011,1592,1419,TUE,Lion's Gate,2020
14,14,3180,1729,1450,TUE,Lion's Gate,2020
15,15,3396,1845,1550,TUE,Lion's Gate,2020
16,16,3671,2127,1543,TUE,Lion's Gate,2020
17,17,3716,2228,1487,TUE,Lion's Gate,2020
18,18,3145,1808,1336,TUE,Lion's Gate,2020
19,19,2281,1193,1087,TUE,Lion's Gate,2020
20,20,1766,887,878,TUE,Lion's Gate,2020
21,21,1421,727,694,TUE,Lion's Gate,2020
22,22,1039,540,498,TUE,Lion's Gate,2020
23,23,624,321,302,TUE,Lion's Gate,2020
0,0,341,193,148,WED,Lion's Gate,2020
1,1,194,109,85,WED,Lion's Gate,2020
2,2,118,66,52,WED,Lion's Gate,2020
3,3,91,47,44,WED,Lion's Gate,2020
4,4,126,59,66,WED,Lion's Gate,2020
5,5,448,219,228,WED,Lion's Gate,2020
6,6,1372,607,764,WED,Lion's Gate,2020
7,7,2787,1090,1696,WED,Lion's Gate,2020
8,8,3276,1222,2054,WED,Lion's Gate,2020
9,9,3058,1267,1790,WED,Lion's Gate,2020
10,10,2834,1333,1500,WED,Lion's Gate,2020
11,11,2893,1433,1459,WED,Lion's Gate,2020
12,12,3030,1528,1502,WED,Lion's Gate,2020
13,13,3053,1586,1466,WED,Lion's Gate,2020
14,14,3228,1738,1490,WED,Lion's Gate,2020
15,15,3505,1910,1595,WED,Lion's Gate,2020
16,16,3648,2090,1557,WED,Lion's Gate,2020
17,17,3686,2180,1506,WED,Lion's Gate,2020
18,18,3221,1800,1420,WED,Lion's Gate,2020
19,19,2327,1198,1129,WED,Lion's Gate,2020
20,20,1890,943,946,WED,Lion's Gate,2020
21,21,1560,798,762,WED,Lion's Gate,2020
22,22,1145,606,538,WED,Lion's Gate,2020
23,23,694,367,327,WED,Lion's Gate,2020
0,0,354,203,150,THU,Lion's Gate,2020
1,1,182,104,77,THU,Lion's Gate,2020
2,2,107,58,49,THU,Lion's Gate,2020
3,3,83,43,39,THU,Lion's Gate,2020
4,4,122,56,65,THU,Lion's Gate,2020
5,5,444,221,223,THU,Lion's Gate,2020
6,6,1401,627,774,THU,Lion's Gate,2020
7,7,2876,1119,1757,THU,Lion's Gate,2020
8,8,3378,1269,2108,THU,Lion's Gate,2020
9,9,3140,1273,1866,THU,Lion's Gate,2020
10,10,2897,1356,1540,THU,Lion's Gate,2020
11,11,2944,1450,1494,THU,Lion's Gate,2020
12,12,3119,1582,1537,THU,Lion's Gate,2020
13,13,3167,1666,1501,THU,Lion's Gate,2020
14,14,3320,1809,1510,THU,Lion's Gate,2020
15,15,3555,1929,1625,THU,Lion's Gate,2020
16,16,3766,2173,1592,THU,Lion's Gate,2020
17,17,3796,2260,1535,THU,Lion's Gate,2020
18,18,3298,1884,1413,THU,Lion's Gate,2020
19,19,2430,1288,1141,THU,Lion's Gate,2020
20,20,1946,993,952,THU,Lion's Gate,2020
21,21,1604,835,768,THU,Lion's Gate,2020
22,22,1182,633,549,THU,Lion's Gate,2020
23,23,744,395,349,THU,Lion's Gate,2020
0,0,380,216,164,FRI,Lion's Gate,2020
1,1,202,113,89,FRI,Lion's Gate,2020
2,2,119,66,53,FRI,Lion's Gate,2020
3,3,89,47,42,FRI,Lion's Gate,2020
4,4,123,59,63,FRI,Lion's Gate,2020
5,5,436,227,209,FRI,Lion's Gate,2020
6,6,1338,620,717,FRI,Lion's Gate,2020
7,7,2658,1096,1562,FRI,Lion's Gate,2020
8,8,3200,1250,1949,FRI,Lion's Gate,2020
9,9,3031,1309,1721,FRI,Lion's Gate,2020
10,10,2915,1415,1500,FRI,Lion's Gate,2020
11,11,3079,1553,1526,FRI,Lion's Gate,2020
12,12,3254,1671,1583,FRI,Lion's Gate,2020
13,13,3288,1784,1503,FRI,Lion's Gate,2020
14,14,3510,1929,1580,FRI,Lion's Gate,2020
15,15,3694,2069,1624,FRI,Lion's Gate,2020
16,16,3738,2153,1585,FRI,Lion's Gate,2020
17,17,3673,2169,1504,FRI,Lion's Gate,2020
18,18,3325,1851,1474,FRI,Lion's Gate,2020
19,19,2558,1344,1214,FRI,Lion's Gate,2020
20,20,1942,973,969,FRI,Lion's Gate,2020
21,21,1628,822,806,FRI,Lion's Gate,2020
22,22,1353,712,640,FRI,Lion's Gate,2020
23,23,1010,539,471,FRI,Lion's Gate,2020
0,0,609,345,264,SAT,Lion's Gate,2020
1,1,371,204,167,SAT,Lion's Gate,2020
2,2,235,128,107,SAT,Lion's Gate,2020
3,3,159,87,71,SAT,Lion's Gate,2020
4,4,129,66,63,SAT,Lion's Gate,2020
5,5,242,142,100,SAT,Lion's Gate,2020
6,6,646,395,250,SAT,Lion's Gate,2020
7,7,1100,659,441,SAT,Lion's Gate,2020
8,8,1705,992,712,SAT,Lion's Gate,2020
9,9,2304,1233,1071,SAT,Lion's Gate,2020
10,10,2763,1497,1266,SAT,Lion's Gate,2020
11,11,3080,1671,1409,SAT,Lion's Gate,2020
12,12,3408,1794,1614,SAT,Lion's Gate,2020
13,13,3483,1862,1620,SAT,Lion's Gate,2020
14,14,3490,1840,1649,SAT,Lion's Gate,2020
15,15,3483,1834,1648,SAT,Lion's Gate,2020
16,16,3304,1705,1598,SAT,Lion's Gate,2020
17,17,3166,1561,1604,SAT,Lion's Gate,2020
18,18,2826,1284,1541,SAT,Lion's Gate,2020
19,19,2363,1040,1322,SAT,Lion's Gate,2020
20,20,1876,842,1033,SAT,Lion's Gate,2020
21,21,1618,766,852,SAT,Lion's Gate,2020
22,22,1405,719,686,SAT,Lion's Gate,2020
23,23,1028,538,489,SAT,Lion's Gate,2020
