,Hour,Trips,PDir,NDir,Weekday,Bridge,Year
0,0,1570,841,729,SUN,Second Narrows,2018
1,1,858,461,397,SUN,Second Narrows,2018
2,2,537,294,244,SUN,Second Narrows,2018
3,3,402,211,191,SUN,Second Narrows,2018
4,4,432,251,181,SUN,Second Narrows,2018
5,5,834,502,332,SUN,Second Narrows,2018
6,6,1722,1065,657,SUN,Second Narrows,2018
7,7,2563,1511,1052,SUN,Second Narrows,2018
8,8,3505,1966,1539,SUN,Second Narrows,2018
9,9,5289,2707,2582,SUN,Second Narrows,2018
10,10,6710,3369,3341,SUN,Second Narrows,2018
11,11,7345,3657,3687,SUN,Second Narrows,2018
12,12,7958,3868,4090,SUN,Second Narrows,2018
13,13,8195,4090,4105,SUN,Second Narrows,2018
14,14,8250,4058,4192,SUN,Second Narrows,2018
15,15,8224,3932,4292,SUN,Second Narrows,2018
16,16,7960,3750,4209,SUN,Second Narrows,2018
17,17,7178,3258,3919,SUN,Second Narrows,2018
18,18,5863,2560,3303,SUN,Second Narrows,2018
19,19,4849,2132,2717,SUN,Second Narrows,2018
20,20,4143,1883,2260,SUN,Second Narrows,2018
21,21,3443,1648,1795,SUN,Second Narrows,2018
22,22,2462,1194,1268,SUN,Second Narrows,2018
23,23,1509,710,799,SUN,Second Narrows,2018
0,0,934,448,486,MON,Second Narrows,2018
1,1,464,239,225,MON,Second Narrows,2018
2,2,280,147,134,MON,Second Narrows,2018
3,3,299,153,145,MON,Second Narrows,2018
4,4,724,448,276,MON,Second Narrows,2018
5,5,2745,1752,993,MON,Second Narrows,2018
6,6,6241,3580,2661,MON,Second Narrows,2018
7,7,8101,3993,4108,MON,Second Narrows,2018
8,8,7762,3806,3956,MON,Second Narrows,2018
9,9,7197,3682,3515,MON,Second Narrows,2018
10,10,6907,3543,3364,MON,Second Narrows,2018
11,11,7128,3561,3566,MON,Second Narrows,2018
12,12,7284,3596,3688,MON,Second Narrows,2018
13,13,7467,3645,3822,MON,Second Narrows,2018
14,14,8408,3948,4459,MON,Second Narrows,2018
15,15,8944,4234,4710,MON,Second Narrows,2018
16,16,9306,4634,4673,MON,Second Narrows,2018
17,17,8827,4495,4332,MON,Second Narrows,2018
18,18,6650,3237,3413,MON,Second Narrows,2018
19,19,4884,2272,2612,MON,Second Narrows,2018
20,20,3896,1887,2009,MON,Second Narrows,2018
21,21,3302,1645,1656,MON,Second Narrows,2018
22,22,2279,1095,1184,MON,Second Narrows,2018
23,23,1296,623,672,MON,Second Narrows,2018
0,0,754,374,380,TUE,Second Narrows,2018
1,1,349,172,177,TUE,Second Narrows,2018
2,2,238,117,121,TUE,Second Narrows,2018
3,3,289,147,143,TUE,Second Narrows,2018
4,4,763,478,286,TUE,Second Narrows,2018
5,5,3201,2067,1134,TUE,Second Narrows,2018
6,6,7435,4228,3207,TUE,Second Narrows,2018
7,7,9572,4624,4948,TUE,Second Narrows,2018
8,8,9039,4236,4802,TUE,Second Narrows,2018
9,9,7937,3972,3965,TUE,Second Narrows,2018
10,10,7112,3615,3497,TUE,Second Narrows,2018
11,11,7165,3528,3636,TUE,Second Narrows,2018
12,12,7203,3538,3665,TUE,Second Narrows,2018
13,13,7419,3617,3801,TUE,Second Narrows,2018
14,14,8475,3987,4489,TUE,Second Narrows,2018
15,15,9373,4499,4874,TUE,Second Narrows,2018
16,16,9846,5020,4826,TUE,Second Narrows,2018
17,17,9342,4842,4500,TUE,Second Narrows,2018
18,18,7248,3675,3572,TUE,Second Narrows,2018
19,19,5195,2483,2712,TUE,Second Narrows,2018
20,20,4165,2080,2084,TUE,Second Narrows,2018
21,21,3624,1880,1743,TUE,Second Narrows,2018
22,22,2526,1266,1260,TUE,Second Narrows,2018
23,23,1374,665,710,TUE,Second Narrows,2018
0,0,808,413,395,WED,Second Narrows,2018
1,1,369,187,182,WED,Second Narrows,2018
2,2,258,128,130,WED,Second Narrows,2018
3,3,302,146,156,WED,Second Narrows,2018
4,4,773,482,291,WED,Second Narrows,2018
5,5,3137,2035,1102,WED,Second Narrows,2018
6,6,7407,4223,3184,WED,Second Narrows,2018
7,7,9695,4706,4990,WED,Second Narrows,2018
8,8,9126,4343,4783,WED,Second Narrows,2018
9,9,7928,4030,3897,WED,Second Narrows,2018
10,10,7229,3676,3553,WED,Second Narrows,2018
11,11,7261,3545,3716,WED,Second Narrows,2018
12,12,7267,3492,3775,WED,Second Narrows,2018
13,13,7622,3721,3901,WED,Second Narrows,2018
14,14,8652,4067,4585,WED,Second Narrows,2018
15,15,9322,4523,4798,WED,Second Narrows,2018
16,16,9839,5024,4816,WED,Second Narrows,2018
17,17,9570,4938,4633,WED,Second Narrows,2018
18,18,7436,3719,3717,WED,Second Narrows,2018
19,19,5308,2496,2812,WED,Second Narrows,2018
20,20,4296,2128,2168,WED,Second Narrows,2018
21,21,3724,1951,1773,WED,Second Narrows,2018
22,22,2631,1305,1326,WED,Second Narrows,2018
23,23,1475,731,744,WED,Second Narrows,2018
0,0,815,425,390,THU,Second Narrows,2018
1,1,403,204,199,THU,Second Narrows,2018
2,2,275,136,139,THU,Second Narrows,2018
3,3,306,153,153,THU,Second Narrows,2018
4,4,785,498,287,THU,Second Narrows,2018
5,5,3134,2042,1091,THU,Second Narrows,2018
6,6,7340,4185,3155,THU,Second Narrows,2018
7,7,9607,4660,4946,THU,Second Narrows,2018
8,8,9208,4388,4819,THU,Second Narrows,2018
9,9,8105,4096,4009,THU,Second Narrows,2018
10,10,7479,3779,3700,THU,Second Narrows,2018
11,11,7456,3661,3795,THU,Second Narrows,2018
12,12,7532,3665,3866,THU,Second Narrows,2018
13,13,7768,3785,3983,THU,Second Narrows,2018
14,14,8670,4131,4539,THU,Second Narrows,2018
15,15,9341,4544,4798,THU,Second Narrows,2018
16,16,9754,4962,4792,THU,Second Narrows,2018
17,17,9585,4941,4644,THU,Second Narrows,2018
18,18,7818,3921,3896,THU,Second Narrows,2018
19,19,5578,2665,2913,THU,Second Narrows,2018
20,20,4489,2263,2226,THU,Second Narrows,2018
21,21,3899,2003,1896,THU,Second Narrows,2018
22,22,2873,1437,1436,THU,Second Narrows,2018
23,23,1589,781,808,THU,Second Narrows,2018
0,0,937,472,465,FRI,Second Narrows,2018
1,1,449,228,221,FRI,Second Narrows,2018
2,2,319,160,159,FRI,Second Narrows,2018
3,3,330,163,166,FRI,Second Narrows,2018
4,4,782,492,290,FRI,Second Narrows,2018
5,5,2995,1954,1041,FRI,Second Narrows,2018
6,6,7010,4130,2880,FRI,Second Narrows,2018
7,7,9269,4594,4675,FRI,Second Narrows,2018
8,8,8775,4322,4453,FRI,Second Narrows,2018
9,9,7935,4032,3903,FRI,Second Narrows,2018
10,10,7608,3802,3806,FRI,Second Narrows,2018
11,11,7828,3857,3970,FRI,Second Narrows,2018
12,12,7981,3858,4123,FRI,Second Narrows,2018
13,13,8222,4033,4189,FRI,Second Narrows,2018
14,14,9016,4449,4567,FRI,Second Narrows,2018
15,15,9394,4674,4720,FRI,Second Narrows,2018
16,16,9621,4855,4767,FRI,Second Narrows,2018
17,17,9204,4714,4490,FRI,Second Narrows,2018
18,18,7760,3865,3895,FRI,Second Narrows,2018
19,19,5658,2724,2934,FRI,Second Narrows,2018
20,20,4250,2060,2190,FRI,Second Narrows,2018
21,21,3804,1896,1908,FRI,Second Narrows,2018
22,22,3288,1610,1679,FRI,Second Narrows,2018
23,23,2132,1072,1060,FRI,Second Narrows,2018
0,0,1379,738,640,SAT,Second Narrows,2018
1,1,792,427,365,SAT,Second Narrows,2018
2,2,503,272,231,SAT,Second Narrows,2018
3,3,395,211,184,SAT,Second Narrows,2018
4,4,535,326,209,SAT,Second Narrows,2018
5,5,1173,744,429,SAT,Second Narrows,2018
6,6,2374,1475,900,SAT,Second Narrows,2018
7,7,3806,2265,1541,SAT,Second Narrows,2018
8,8,5559,3190,2369,SAT,Second Narrows,2018
9,9,6930,3666,3264,SAT,Second Narrows,2018
10,10,7509,3783,3726,SAT,Second Narrows,2018
11,11,7872,3925,3948,SAT,Second Narrows,2018
12,12,8166,4020,4146,SAT,Second Narrows,2018
13,13,8366,4184,4182,SAT,Second Narrows,2018
14,14,8538,4228,4310,SAT,Second Narrows,2018
15,15,8584,4189,4395,SAT,Second Narrows,2018
16,16,8359,3944,4415,SAT,Second Narrows,2018
17,17,7879,3529,4351,SAT,Second Narrows,2018
18,18,6721,2932,3788,SAT,Second Narrows,2018
19,19,4880,2173,2706,SAT,Second Narrows,2018
20,20,3883,1821,2062,SAT,Second Narrows,2018
21,21,3749,1834,1915,SAT,Second Narrows,2018
22,22,3381,1672,1710,SAT,Second Narrows,2018
23,23,2368,1200,1168,SAT,Second Narrows,2018
