,Time,Road,PDir,NDir,Weekday,Bridge,Year
0,00:00:00,948,483,464,SUN,Second Narrows,2020
1,01:00:00,527,278,249,SUN,Second Narrows,2020
2,02:00:00,340,180,160,SUN,Second Narrows,2020
3,03:00:00,250,125,124,SUN,Second Narrows,2020
4,04:00:00,390,157,233,SUN,Second Narrows,2020
5,05:00:00,835,289,546,SUN,Second Narrows,2020
6,06:00:00,1576,558,1017,SUN,Second Narrows,2020
7,07:00:00,2118,787,1330,SUN,Second Narrows,2020
8,08:00:00,2915,1189,1726,SUN,Second Narrows,2020
9,09:00:00,4216,1896,2319,SUN,Second Narrows,2020
10,10:00:00,5432,2548,2883,SUN,Second Narrows,2020
11,11:00:00,6365,3134,3231,SUN,Second Narrows,2020
12,12:00:00,6895,3438,3456,SUN,Second Narrows,2020
13,13:00:00,7326,3592,3733,SUN,Second Narrows,2020
14,14:00:00,7517,3832,3685,SUN,Second Narrows,2020
15,15:00:00,7257,3832,3424,SUN,Second Narrows,2020
16,16:00:00,6803,3764,3038,SUN,Second Narrows,2020
17,17:00:00,6000,3429,2570,SUN,Second Narrows,2020
18,18:00:00,4757,2760,1997,SUN,Second Narrows,2020
19,19:00:00,3833,2210,1622,SUN,Second Narrows,2020
20,20:00:00,3273,1893,1380,SUN,Second Narrows,2020
21,21:00:00,2608,1455,1152,SUN,Second Narrows,2020
22,22:00:00,1852,1039,812,SUN,Second Narrows,2020
23,23:00:00,1049,596,452,SUN,Second Narrows,2020
0,00:00:00,609,336,273,MON,Second Narrows,2020
1,01:00:00,295,163,132,MON,Second Narrows,2020
2,02:00:00,209,110,99,MON,Second Narrows,2020
3,03:00:00,248,112,135,MON,Second Narrows,2020
4,04:00:00,766,259,507,MON,Second Narrows,2020
5,05:00:00,2791,934,1856,MON,Second Narrows,2020
6,06:00:00,5770,2293,3476,MON,Second Narrows,2020
7,07:00:00,6938,3242,3696,MON,Second Narrows,2020
8,08:00:00,6648,3200,3447,MON,Second Narrows,2020
9,09:00:00,6258,2931,3326,MON,Second Narrows,2020
10,10:00:00,6094,2933,3160,MON,Second Narrows,2020
11,11:00:00,6367,3170,3196,MON,Second Narrows,2020
12,12:00:00,6557,3334,3223,MON,Second Narrows,2020
13,13:00:00,6833,3483,3349,MON,Second Narrows,2020
14,14:00:00,7794,4232,3562,MON,Second Narrows,2020
15,15:00:00,8292,4469,3823,MON,Second Narrows,2020
16,16:00:00,8212,4247,3964,MON,Second Narrows,2020
17,17:00:00,7368,3838,3529,MON,Second Narrows,2020
18,18:00:00,5440,2864,2575,MON,Second Narrows,2020
19,19:00:00,3942,2140,1801,MON,Second Narrows,2020
20,20:00:00,2981,1595,1385,MON,Second Narrows,2020
21,21:00:00,2310,1253,1057,MON,Second Narrows,2020
22,22:00:00,1665,925,740,MON,Second Narrows,2020
23,23:00:00,993,585,408,MON,Second Narrows,2020
0,00:00:00,568,304,263,TUE,Second Narrows,2020
1,01:00:00,289,166,122,TUE,Second Narrows,2020
2,02:00:00,216,125,91,TUE,Second Narrows,2020
3,03:00:00,257,117,140,TUE,Second Narrows,2020
4,04:00:00,815,270,545,TUE,Second Narrows,2020
5,05:00:00,3051,1012,2039,TUE,Second Narrows,2020
6,06:00:00,6467,2573,3893,TUE,Second Narrows,2020
7,07:00:00,7705,3637,4067,TUE,Second Narrows,2020
8,08:00:00,7335,3550,3784,TUE,Second Narrows,2020
9,09:00:00,6631,3181,3449,TUE,Second Narrows,2020
10,10:00:00,6254,3062,3192,TUE,Second Narrows,2020
11,11:00:00,6389,3251,3138,TUE,Second Narrows,2020
12,12:00:00,6608,3377,3230,TUE,Second Narrows,2020
13,13:00:00,6870,3529,3340,TUE,Second Narrows,2020
14,14:00:00,7893,4264,3629,TUE,Second Narrows,2020
15,15:00:00,8514,4516,3998,TUE,Second Narrows,2020
16,16:00:00,8551,4351,4199,TUE,Second Narrows,2020
17,17:00:00,7816,4027,3788,TUE,Second Narrows,2020
18,18:00:00,5794,3001,2793,TUE,Second Narrows,2020
19,19:00:00,4070,2146,1924,TUE,Second Narrows,2020
20,20:00:00,3099,1636,1463,TUE,Second Narrows,2020
21,21:00:00,2470,1313,1156,TUE,Second Narrows,2020
22,22:00:00,1755,956,798,TUE,Second Narrows,2020
23,23:00:00,1083,634,449,TUE,Second Narrows,2020
0,00:00:00,628,333,294,WED,Second Narrows,2020
1,01:00:00,329,181,148,WED,Second Narrows,2020
2,02:00:00,244,139,105,WED,Second Narrows,2020
3,03:00:00,268,123,144,WED,Second Narrows,2020
4,04:00:00,803,273,530,WED,Second Narrows,2020
5,05:00:00,2929,963,1966,WED,Second Narrows,2020
6,06:00:00,6141,2426,3714,WED,Second Narrows,2020
7,07:00:00,7352,3418,3934,WED,Second Narrows,2020
8,08:00:00,7044,3353,3691,WED,Second Narrows,2020
9,09:00:00,6542,3083,3458,WED,Second Narrows,2020
10,10:00:00,6258,3027,3231,WED,Second Narrows,2020
11,11:00:00,6446,3234,3211,WED,Second Narrows,2020
12,12:00:00,6667,3409,3257,WED,Second Narrows,2020
13,13:00:00,6966,3568,3398,WED,Second Narrows,2020
14,14:00:00,8009,4331,3678,WED,Second Narrows,2020
15,15:00:00,8476,4510,3965,WED,Second Narrows,2020
16,16:00:00,8565,4416,4149,WED,Second Narrows,2020
17,17:00:00,7858,4095,3762,WED,Second Narrows,2020
18,18:00:00,5886,3122,2763,WED,Second Narrows,2020
19,19:00:00,4139,2215,1924,WED,Second Narrows,2020
20,20:00:00,3261,1728,1533,WED,Second Narrows,2020
21,21:00:00,2544,1344,1199,WED,Second Narrows,2020
22,22:00:00,1823,989,834,WED,Second Narrows,2020
23,23:00:00,1121,644,477,WED,Second Narrows,2020
0,00:00:00,594,306,288,THU,Second Narrows,2020
1,01:00:00,303,168,134,THU,Second Narrows,2020
2,02:00:00,239,135,104,THU,Second Narrows,2020
3,03:00:00,268,123,144,THU,Second Narrows,2020
4,04:00:00,837,281,556,THU,Second Narrows,2020
5,05:00:00,3011,983,2028,THU,Second Narrows,2020
6,06:00:00,6319,2482,3837,THU,Second Narrows,2020
7,07:00:00,7702,3593,4108,THU,Second Narrows,2020
8,08:00:00,7354,3541,3812,THU,Second Narrows,2020
9,09:00:00,6741,3223,3518,THU,Second Narrows,2020
10,10:00:00,6482,3187,3294,THU,Second Narrows,2020
11,11:00:00,6640,3381,3259,THU,Second Narrows,2020
12,12:00:00,6929,3578,3350,THU,Second Narrows,2020
13,13:00:00,7178,3690,3487,THU,Second Narrows,2020
14,14:00:00,8071,4318,3753,THU,Second Narrows,2020
15,15:00:00,8734,4619,4114,THU,Second Narrows,2020
16,16:00:00,8776,4493,4282,THU,Second Narrows,2020
17,17:00:00,8019,4138,3880,THU,Second Narrows,2020
18,18:00:00,6006,3083,2922,THU,Second Narrows,2020
19,19:00:00,4310,2265,2045,THU,Second Narrows,2020
20,20:00:00,3309,1746,1563,THU,Second Narrows,2020
21,21:00:00,2664,1406,1257,THU,Second Narrows,2020
22,22:00:00,1920,1041,879,THU,Second Narrows,2020
23,23:00:00,1152,662,489,THU,Second Narrows,2020
0,00:00:00,655,344,311,FRI,Second Narrows,2020
1,01:00:00,337,186,151,FRI,Second Narrows,2020
2,02:00:00,244,135,108,FRI,Second Narrows,2020
3,03:00:00,271,125,145,FRI,Second Narrows,2020
4,04:00:00,804,271,532,FRI,Second Narrows,2020
5,05:00:00,2795,918,1876,FRI,Second Narrows,2020
6,06:00:00,5865,2269,3596,FRI,Second Narrows,2020
7,07:00:00,7097,3261,3835,FRI,Second Narrows,2020
8,08:00:00,6972,3304,3667,FRI,Second Narrows,2020
9,09:00:00,6612,3123,3489,FRI,Second Narrows,2020
10,10:00:00,6532,3175,3357,FRI,Second Narrows,2020
11,11:00:00,6992,3539,3452,FRI,Second Narrows,2020
12,12:00:00,7283,3724,3559,FRI,Second Narrows,2020
13,13:00:00,7639,3890,3748,FRI,Second Narrows,2020
14,14:00:00,8309,4345,3963,FRI,Second Narrows,2020
15,15:00:00,8750,4553,4197,FRI,Second Narrows,2020
16,16:00:00,8651,4386,4264,FRI,Second Narrows,2020
17,17:00:00,7913,4037,3875,FRI,Second Narrows,2020
18,18:00:00,6294,3257,3036,FRI,Second Narrows,2020
19,19:00:00,4528,2353,2175,FRI,Second Narrows,2020
20,20:00:00,3385,1804,1580,FRI,Second Narrows,2020
21,21:00:00,2721,1450,1271,FRI,Second Narrows,2020
22,22:00:00,2222,1220,1002,FRI,Second Narrows,2020
23,23:00:00,1502,838,664,FRI,Second Narrows,2020
0,00:00:00,909,471,438,SAT,Second Narrows,2020
1,01:00:00,514,278,235,SAT,Second Narrows,2020
2,02:00:00,353,192,160,SAT,Second Narrows,2020
3,03:00:00,284,139,145,SAT,Second Narrows,2020
4,04:00:00,496,194,301,SAT,Second Narrows,2020
5,05:00:00,1137,368,768,SAT,Second Narrows,2020
6,06:00:00,2118,753,1364,SAT,Second Narrows,2020
7,07:00:00,3155,1183,1972,SAT,Second Narrows,2020
8,08:00:00,4418,1806,2612,SAT,Second Narrows,2020
9,09:00:00,5667,2544,3122,SAT,Second Narrows,2020
10,10:00:00,6514,3085,3428,SAT,Second Narrows,2020
11,11:00:00,7159,3498,3660,SAT,Second Narrows,2020
12,12:00:00,7549,3764,3784,SAT,Second Narrows,2020
13,13:00:00,7746,3828,3917,SAT,Second Narrows,2020
14,14:00:00,7889,3968,3921,SAT,Second Narrows,2020
15,15:00:00,7764,4028,3736,SAT,Second Narrows,2020
16,16:00:00,7330,3961,3368,SAT,Second Narrows,2020
17,17:00:00,6592,3672,2920,SAT,Second Narrows,2020
18,18:00:00,5354,3050,2303,SAT,Second Narrows,2020
19,19:00:00,3875,2184,1690,SAT,Second Narrows,2020
20,20:00:00,3053,1713,1340,SAT,Second Narrows,2020
21,21:00:00,2645,1475,1170,SAT,Second Narrows,2020
22,22:00:00,2250,1242,1008,SAT,Second Narrows,2020
23,23:00:00,1527,813,713,SAT,Second Narrows,2020
