,Time,Road,PDir,NDir,Weekday,Bridge,Year
0,00:00,"1,568",743,825,SUN,Second Narrows,2019
1,01:00,881,418,462,SUN,Second Narrows,2019
2,02:00,530,247,283,SUN,Second Narrows,2019
3,03:00,403,188,214,SUN,Second Narrows,2019
4,04:00,425,176,249,SUN,Second Narrows,2019
5,05:00,818,326,491,SUN,Second Narrows,2019
6,06:00,"1,716",660,"1,056",SUN,Second Narrows,2019
7,07:00,"2,604","1,040","1,564",SUN,Second Narrows,2019
8,08:00,"3,813","1,663","2,149",SUN,Second Narrows,2019
9,09:00,"5,578","2,656","2,921",SUN,Second Narrows,2019
10,10:00,"6,893","3,354","3,539",SUN,Second Narrows,2019
11,11:00,"7,602","3,811","3,791",SUN,Second Narrows,2019
12,12:00,"8,149","4,197","3,951",SUN,Second Narrows,2019
13,13:00,"8,167","4,137","4,029",SUN,Second Narrows,2019
14,14:00,"8,417","4,258","4,158",SUN,Second Narrows,2019
15,15:00,"8,403","4,397","4,005",SUN,Second Narrows,2019
16,16:00,"8,105","4,353","3,752",SUN,Second Narrows,2019
17,17:00,"7,295","4,058","3,236",SUN,Second Narrows,2019
18,18:00,"6,018","3,473","2,544",SUN,Second Narrows,2019
19,19:00,"4,942","2,781","2,160",SUN,Second Narrows,2019
20,20:00,"4,249","2,332","1,916",SUN,Second Narrows,2019
21,21:00,"3,524","1,843","1,681",SUN,Second Narrows,2019
22,22:00,"2,451","1,271","1,180",SUN,Second Narrows,2019
23,23:00,"1,445",755,690,SUN,Second Narrows,2019
0,00:00,825,423,402,MON,Second Narrows,2019
1,01:00,407,203,203,MON,Second Narrows,2019
2,02:00,255,121,133,MON,Second Narrows,2019
3,03:00,293,137,155,MON,Second Narrows,2019
4,04:00,786,278,507,MON,Second Narrows,2019
5,05:00,"3,040","1,050","1,990",MON,Second Narrows,2019
6,06:00,"6,532","2,785","3,746",MON,Second Narrows,2019
7,07:00,"8,404","4,320","4,083",MON,Second Narrows,2019
8,08:00,"7,996","4,162","3,833",MON,Second Narrows,2019
9,09:00,"7,369","3,623","3,745",MON,Second Narrows,2019
10,10:00,"6,898","3,362","3,535",MON,Second Narrows,2019
11,11:00,"7,039","3,569","3,469",MON,Second Narrows,2019
12,12:00,"7,242","3,745","3,497",MON,Second Narrows,2019
13,13:00,"7,405","3,797","3,607",MON,Second Narrows,2019
14,14:00,"8,404","4,488","3,916",MON,Second Narrows,2019
15,15:00,"8,874","4,619","4,255",MON,Second Narrows,2019
16,16:00,"9,298","4,639","4,659",MON,Second Narrows,2019
17,17:00,"8,716","4,270","4,445",MON,Second Narrows,2019
18,18:00,"6,715","3,435","3,279",MON,Second Narrows,2019
19,19:00,"4,826","2,586","2,240",MON,Second Narrows,2019
20,20:00,"3,896","1,993","1,902",MON,Second Narrows,2019
21,21:00,"3,280","1,628","1,652",MON,Second Narrows,2019
