,Time,Road,PDir,NDir,Weekday,Bridge,Year
22,22:00,"2,226","1,138","1,088",MON,Second Narrows,2019
23,23:00,"1,365",768,596,MON,Second Narrows,2019
0,00:00,759,390,368,TUE,Second Narrows,2019
1,01:00,388,200,187,TUE,Second Narrows,2019
2,02:00,262,133,129,TUE,Second Narrows,2019
3,03:00,303,144,159,TUE,Second Narrows,2019
4,04:00,824,290,533,TUE,Second Narrows,2019
5,05:00,"3,328","1,138","2,190",TUE,Second Narrows,2019
6,06:00,"7,287","3,117","4,169",TUE,Second Narrows,2019
7,07:00,"9,171","4,806","4,364",TUE,Second Narrows,2019
8,08:00,"8,720","4,644","4,075",TUE,Second Narrows,2019
9,09:00,"7,828","3,941","3,886",TUE,Second Narrows,2019
10,10:00,"7,046","3,430","3,616",TUE,Second Narrows,2019
11,11:00,"7,013","3,538","3,474",TUE,Second Narrows,2019
12,12:00,"7,110","3,639","3,471",TUE,Second Narrows,2019
13,13:00,"7,379","3,786","3,592",TUE,Second Narrows,2019
14,14:00,"8,459","4,512","3,946",TUE,Second Narrows,2019
15,15:00,"9,122","4,713","4,409",TUE,Second Narrows,2019
16,16:00,"9,561","4,730","4,830",TUE,Second Narrows,2019
17,17:00,"9,283","4,491","4,792",TUE,Second Narrows,2019
18,18:00,"7,286","3,670","3,615",TUE,Second Narrows,2019
19,19:00,"5,116","2,693","2,423",TUE,Second Narrows,2019
20,20:00,"4,076","2,054","2,022",TUE,Second Narrows,2019
21,21:00,"3,587","1,730","1,856",TUE,Second Narrows,2019
22,22:00,"2,421","1,217","1,204",TUE,Second Narrows,2019
23,23:00,"1,433",776,656,TUE,Second Narrows,2019
0,00:00,775,382,392,WED,Second Narrows,2019
1,01:00,379,195,184,WED,Second Narrows,2019
2,02:00,263,137,125,WED,Second Narrows,2019
3,03:00,311,155,156,WED,Second Narrows,2019
4,04:00,793,281,512,WED,Second Narrows,2019
5,05:00,"3,312","1,123","2,188",WED,Second Narrows,2019
6,06:00,"7,412","3,151","4,261",WED,Second Narrows,2019
7,07:00,"9,460","4,884","4,575",WED,Second Narrows,2019
8,08:00,"8,916","4,712","4,204",WED,Second Narrows,2019
9,09:00,"7,930","3,965","3,964",WED,Second Narrows,2019
10,10:00,"7,193","3,523","3,669",WED,Second Narrows,2019
11,11:00,"7,245","3,693","3,551",WED,Second Narrows,2019
12,12:00,"7,250","3,727","3,522",WED,Second Narrows,2019
13,13:00,"7,632","3,906","3,725",WED,Second Narrows,2019
14,14:00,"8,639","4,586","4,053",WED,Second Narrows,2019
15,15:00,"9,206","4,808","4,398",WED,Second Narrows,2019
16,16:00,"9,669","4,781","4,888",WED,Second Narrows,2019
17,17:00,"9,484","4,623","4,860",WED,Second Narrows,2019
18,18:00,"7,455","3,780","3,674",WED,Second Narrows,2019
19,19:00,"5,342","2,823","2,518",WED,Second Narrows,2019
20,20:00,"4,379","2,181","2,197",WED,Second Narrows,2019
21,21:00,"3,772","1,802","1,970",WED,Second Narrows,2019
22,22:00,"2,640","1,299","1,341",WED,Second Narrows,2019
23,23:00,"1,559",831,727,WED,Second Narrows,2019
0,00:00,812,394,418,THU,Second Narrows,2019
1,01:00,398,200,197,THU,Second Narrows,2019
2,02:00,273,143,130,THU,Second Narrows,2019
3,03:00,303,150,153,THU,Second Narrows,2019
4,04:00,831,286,545,THU,Second Narrows,2019
5,05:00,"3,334","1,112","2,222",THU,Second Narrows,2019
6,06:00,"7,315","3,080","4,235",THU,Second Narrows,2019
7,07:00,"9,532","4,898","4,634",THU,Second Narrows,2019
8,08:00,"9,072","4,805","4,266",THU,Second Narrows,2019
9,09:00,"8,004","4,036","3,968",THU,Second Narrows,2019
10,10:00,"7,347","3,654","3,692",THU,Second Narrows,2019
11,11:00,"7,386","3,782","3,603",THU,Second Narrows,2019
12,12:00,"7,551","3,880","3,670",THU,Second Narrows,2019
13,13:00,"7,773","3,993","3,779",THU,Second Narrows,2019
14,14:00,"8,743","4,581","4,161",THU,Second Narrows,2019
15,15:00,"9,193","4,744","4,449",THU,Second Narrows,2019
16,16:00,"9,635","4,770","4,865",THU,Second Narrows,2019
17,17:00,"9,393","4,595","4,798",THU,Second Narrows,2019
18,18:00,"7,799","3,861","3,937",THU,Second Narrows,2019
19,19:00,"5,460","2,835","2,624",THU,Second Narrows,2019
20,20:00,"4,401","2,214","2,186",THU,Second Narrows,2019
21,21:00,"3,891","1,915","1,976",THU,Second Narrows,2019
22,22:00,"2,699","1,338","1,361",THU,Second Narrows,2019
23,23:00,"1,611",850,760,THU,Second Narrows,2019
0,00:00,879,419,460,FRI,Second Narrows,2019
1,01:00,459,235,224,FRI,Second Narrows,2019
2,02:00,318,162,155,FRI,Second Narrows,2019
3,03:00,323,155,167,FRI,Second Narrows,2019
4,04:00,827,284,543,FRI,Second Narrows,2019
5,05:00,"3,157","1,041","2,115",FRI,Second Narrows,2019
6,06:00,"6,983","2,828","4,154",FRI,Second Narrows,2019
7,07:00,"9,019","4,560","4,458",FRI,Second Narrows,2019
8,08:00,"8,593","4,455","4,137",FRI,Second Narrows,2019
9,09:00,"7,821","3,850","3,971",FRI,Second Narrows,2019
10,10:00,"7,494","3,774","3,719",FRI,Second Narrows,2019
11,11:00,"7,799","3,980","3,818",FRI,Second Narrows,2019
12,12:00,"7,999","4,130","3,868",FRI,Second Narrows,2019
13,13:00,"8,282","4,222","4,059",FRI,Second Narrows,2019
14,14:00,"8,993","4,619","4,373",FRI,Second Narrows,2019
15,15:00,"9,337","4,795","4,542",FRI,Second Narrows,2019
16,16:00,"9,524","4,772","4,751",FRI,Second Narrows,2019
17,17:00,"9,209","4,529","4,679",FRI,Second Narrows,2019
18,18:00,"7,854","3,884","3,969",FRI,Second Narrows,2019
19,19:00,"5,640","2,883","2,756",FRI,Second Narrows,2019
20,20:00,"4,298","2,196","2,102",FRI,Second Narrows,2019
21,21:00,"3,852","1,939","1,912",FRI,Second Narrows,2019
22,22:00,"3,262","1,659","1,602",FRI,Second Narrows,2019
23,23:00,"2,232","1,141","1,091",FRI,Second Narrows,2019
0,00:00,"1,370",646,723,SAT,Second Narrows,2019
1,01:00,789,381,408,SAT,Second Narrows,2019
2,02:00,514,247,266,SAT,Second Narrows,2019
3,03:00,416,196,219,SAT,Second Narrows,2019
4,04:00,550,215,334,SAT,Second Narrows,2019
5,05:00,"1,235",438,796,SAT,Second Narrows,2019
6,06:00,"2,436",920,"1,516",SAT,Second Narrows,2019
7,07:00,"3,876","1,553","2,323",SAT,Second Narrows,2019
8,08:00,"5,667","2,432","3,234",SAT,Second Narrows,2019
9,09:00,"7,066","3,319","3,747",SAT,Second Narrows,2019
10,10:00,"7,579","3,757","3,821",SAT,Second Narrows,2019
11,11:00,"8,046","4,052","3,994",SAT,Second Narrows,2019
12,12:00,"8,286","4,253","4,033",SAT,Second Narrows,2019
13,13:00,"8,245","4,177","4,067",SAT,Second Narrows,2019
14,14:00,"8,424","4,312","4,112",SAT,Second Narrows,2019
15,15:00,"8,604","4,415","4,189",SAT,Second Narrows,2019
16,16:00,"8,356","4,425","3,931",SAT,Second Narrows,2019
17,17:00,"7,951","4,390","3,560",SAT,Second Narrows,2019
18,18:00,"6,716","3,800","2,916",SAT,Second Narrows,2019
19,19:00,"4,977","2,761","2,216",SAT,Second Narrows,2019
20,20:00,"3,982","2,116","1,865",SAT,Second Narrows,2019
21,21:00,"3,829","1,962","1,866",SAT,Second Narrows,2019
22,22:00,"3,371","1,713","1,657",SAT,Second Narrows,2019
23,23:00,"2,394","1,174","1,220",SAT,Second Narrows,2019
