,,,,,BC Ministry of Transportation and Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Annual Hourly Day of Week Summary for  ,,,,,,,,,, 2021,,,,,,,,
,Site names:,,Lions Gate P-15-1NS - NY,,,,,,,,,,,Seasonal Factor Grp:,,,,Consistent,,,,,,,,,,,
,,,,,,,,,,,,,,Daily Factor Grp:,,,,Consistent,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Location:,,"Route 99, at the south end of the First Narrows Bridge, Vancouver",,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUN,,,,,MON,,,TUE,,,,,WED,,,,THU,,,FRI,,,,SAT,,,
,,Road,,PDir,,NDir,Road,PDir,NDir,Road,,PDir,NDir,,Road,PDir,NDir,,Road,PDir,NDir,Road,PDir,NDir,,Road,PDir,NDir,
00:00,,772,,415,,357,424,216,207,327,,180,147,,355,196,159,,387,222,165,446,252,194,,735,410,325,
01:00,,479,,251,,227,212,107,104,175,,95,79,,192,105,86,,206,113,93,242,127,115,,457,248,209,
02:00,,305,,163,,141,121,69,52,100,,58,42,,110,63,46,,120,67,53,143,79,63,,292,160,132,
03:00,,206,,111,,95,97,51,45,84,,44,39,,89,47,41,,96,50,46,106,56,50,,204,110,94,
04:00,,161,,86,,74,151,76,74,150,,74,75,,150,74,75,,151,75,75,154,80,73,,170,93,77,
05:00,,269,,164,,104,519,281,238,560,,294,266,,567,300,267,,551,294,256,538,295,242,,331,210,121,
06:00,,603,,350,,252,"1,478",676,801,"1,635",,732,902,,"1,659",750,908,,"1,589",728,861,"1,516",728,787,,769,469,300,
07:00,,989,,621,,367,"2,865","1,203","1,662","3,212",,"1,305","1,907",,"3,173","1,309","1,864",,"3,066","1,284","1,781","2,832","1,263","1,568",,"1,317",807,510,
08:00,,"1,461",,868,,593,"3,434","1,324","2,109","3,803",,"1,401","2,402",,"3,760","1,415","2,345",,"3,668","1,408","2,260","3,441","1,387","2,053",,"2,027","1,183",843,
09:00,,"2,101",,"1,134",,966,"3,111","1,371","1,740","3,439",,"1,448","1,991",,"3,487","1,488","1,998",,"3,415","1,480","1,935","3,340","1,517","1,823",,"2,729","1,456","1,273",
10:00,,"2,732",,"1,442",,"1,289","3,000","1,418","1,582","3,152",,"1,437","1,714",,"3,229","1,488","1,740",,"3,255","1,528","1,727","3,344","1,629","1,714",,"3,236","1,698","1,538",
11:00,,"3,235",,"1,678",,"1,557","3,108","1,537","1,571","3,180",,"1,570","1,609",,"3,262","1,621","1,640",,"3,338","1,647","1,690","3,475","1,758","1,717",,"3,531","1,866","1,664",
12:00,,"3,486",,"1,752",,"1,733","3,193","1,585","1,608","3,277",,"1,653","1,623",,"3,385","1,676","1,708",,"3,392","1,716","1,676","3,596","1,825","1,771",,"3,699","1,909","1,789",
13:00,,"3,551",,"1,818",,"1,732","3,246","1,692","1,553","3,358",,"1,757","1,601",,"3,389","1,789","1,599",,"3,434","1,813","1,620","3,655","1,964","1,691",,"3,628","1,921","1,707",
14:00,,"3,539",,"1,814",,"1,725","3,425","1,774","1,651","3,537",,"1,860","1,677",,"3,606","1,916","1,689",,"3,655","1,917","1,738","3,810","2,020","1,789",,"3,653","1,918","1,734",
15:00,,"3,418",,"1,761",,"1,656","3,531","1,816","1,715","3,690",,"1,958","1,731",,"3,794","2,005","1,789",,"3,762","2,026","1,736","3,902","2,147","1,754",,"3,574","1,887","1,687",
16:00,,"3,262",,"1,621",,"1,640","3,632","1,963","1,668","3,791",,"2,143","1,647",,"3,866","2,117","1,749",,"3,884","2,166","1,717","3,895","2,193","1,702",,"3,442","1,785","1,656",
17:00,,"3,073",,"1,464",,"1,609","3,638","2,058","1,580","3,829",,"2,180","1,648",,"3,940","2,320","1,620",,"3,878","2,255","1,623","3,820","2,130","1,690",,"3,282","1,648","1,634",
18:00,,"2,735",,"1,221",,"1,513","3,066","1,645","1,421","3,345",,"1,858","1,486",,"3,435","1,866","1,568",,"3,444","1,878","1,566","3,508","1,869","1,639",,"2,958","1,393","1,564",
19:00,,"2,383",,"1,019",,"1,364","2,349","1,138","1,210","2,511",,"1,263","1,248",,"2,606","1,317","1,288",,"2,698","1,357","1,341","2,804","1,415","1,388",,"2,570","1,160","1,409",
20:00,,"2,128",,894,,"1,234","1,897",892,"1,005","2,002",,993,"1,009",,"2,099","1,046","1,053",,"2,164","1,083","1,081","2,228","1,105","1,123",,"2,134",970,"1,164",
21:00,,"1,798",,812,,985,"1,530",750,780,"1,635",,850,784,,"1,739",911,828,,"1,814",944,870,"1,868",959,909,,"1,902",907,994,
22:00,,"1,302",,609,,693,"1,114",547,567,"1,246",,647,599,,"1,275",659,615,,"1,381",725,655,"1,603",844,759,,"1,634",823,810,
23:00,,781,,380,,401,642,324,317,685,,365,319,,761,405,356,,822,437,385,"1,168",636,531,,"1,194",630,564,
AADW,,"44,781",,"22,460",,"22,321","49,796","24,525","25,270","52,734",,"26,176","26,558",,"53,937","26,893","27,043",,"54,183","27,224","26,959","55,445","28,287","27,157",,"49,481","25,672","23,809",
N Days,,50,,50,,50,52,52,52,52,,52,52,,52,52,52,,52,52,52,53,53,53,,52,52,52,
Created Thu Feb 03 17:53:02 PST 2022,,,,,,,,,,,,,,,,,,,,,,,,,AV03P: Page 1 of,,,, 1
